Author,title,source,video
 Jesssi | 用戶流x數據流,UXR: User Research Plan on Netflix,UXR: User Research Plan on Netflix | by Melinna Sastra | Medium,https://youtu.be/vphVLcRRSfc
 yccc | 用戶流 x 數據流,“Hooked”: virtual wardrobe app. UX case study,https://medium.com/@luciaparedes/hooked-app-de-armario-virtual-caso-de-estudio-ux-4dc55581e50a“Hooked”: virtual wardrobe app. UX case study.,https://youtu.be/SDIt6qDDOpM
: )  | 數據流,Reimagining ChatGPT: UI/UX Redesign Case Study,https://medium.com/design-bootcamp/reimagining-chatgpt-ui-ux-redesign-case-study-a9927c171a1b,https://youtu.be/rouzWGWUc14
+YEE,The Secret Behind Apple Devices’ Rounded Corners: The Hidden Genius of UX Design — Case Study,https://medium.com/@beckhamza/the-secret-behind-apple-devices-rounded-corners-the-hidden-genius-of-ux-design-case-study-da609774e606,https://youtu.be/6d__e0KtZ8w
🦄Ann1/找資源的PM-商業x用戶流（An93),"Co-Learn- Matchmaking app for study buddies- A UX Casestud
",https://medium.com/@atul1997.v/co-learn-matchmaking-app-for-study-buddies-a-ux-casestudy-f283292ae363,https://youtu.be/QAv8LDyRaJQ
🦊｜用戶流Ｘ商業流,UI/ UX Case Study: YouTube Music Redesign,https://medium.com/@yapmanying36/ui-ux-case-study-youtube-music-be0fe66eafb3,https://www.youtube.com/watch?v=CRnOPSLuFOU
1113B036林憶安,UI UX Study case — Redesign IKEA Indonesia website,https://medium.com/@miqbalmahulana/ui-ux-study-case-redesign-ikea-co-id-a48a1d0c67e4,https://youtu.be/MdW2U8364fY
1113B039劉冠廷,Increasing User Engagement on Spotify by adding a Comment and Recommendation Feature.,https://akintadetemitope.medium.com/increasing-user-engagement-on-the-spotify-by-creating-a-commenting-and-recommendation-feature-afad9ad59e9e,https://youtu.be/vWOURJSwxrk?si=uYonhwEOpL4u6HWL
1113B040曹錦祥,Improving Valorant E-Sports Experience—UI/UX Case Study,https://medium.com/ux-planet/improving-valorant-e-sports-experience-ui-ux-case-study-37e36415a864,https://www.youtube.com/watch?v=2FqJzk0Wyzo
1114 b005彭元忻,Burger King Mobile App Redesign — UI/UX Case Study,https://medium.com/@lusyaanggrn/burger-king-mobile-app-redesign-ui-ux-case-study-1f8a0d5464d3,https://youtu.be/EmhO392ervk
1114A045 黃瑋琳,Case Study： Slack 的螢幕閱讀器操作體驗,https://medium.com/a11yvillage/case-study-slack-%E7%9A%84%E8%9E%A2%E5%B9%95%E9%96%B1%E8%AE%80%E5%99%A8%E6%93%8D%E4%BD%9C%E9%AB%94%E9%A9%97-f5777a97870d,https://youtu.be/srHii6GR0iA
1114B001邵資婷,Whee- Greek shores accessible to everyone,https://medium.com/design-bootcamp/access-for-all-the-impact-of-a-wheelchair-friendly-travel-app-a91d3513f391,https://youtu.be/KSR5-4U0zxc?si=b-_ZwYd5FHbMEuq0
1114B002翁暄茗,Enhancing the Netflix Search Experience: A UX Design Case Study,https://medium.com/design-bootcamp/enhancing-the-netflix-search-experience-a-ux-design-case-study-9c014302d98f,https://youtu.be/R5fpkywXcm8?feature=shared
1114B004陳榆甯,Generation Change: A responsive redesign (UX/UI),https://medium.com/@jackalberttrew/generation-change-a-responsive-redesign-ux-ui-605b811c84f8,https://youtu.be/qfkjSTEfvng
1114b006謝芝宜,"Domino’s Pizza Mobile App Redesign— UI/UX Case Study
",https://medium.com/ux-planet/dominos-pizza-mobile-app-redesign-ui-ux-case-study-2174ada48876,https://youtu.be/LYeb1UYIIIs
1114B008李佩蓉,"BookBuddy UI/UX Case Study
",https://medium.com/@ninadsonidesigns/bookbuddy-ui-ux-case-study-444e3cd85ab6,https://youtu.be/gzswvKgJJ4k
1114B009 林況穎,UX Case Study : Recipe App — ResepMu,https://medium.com/@putrinatalisitumorang/ux-case-study-recipe-app-resepmu-29b9d3771209,https://youtu.be/BBiIV2JojRo?feature=shared
1114b010鍾芯瑜,Ultimate ChatGPT cheatsheet for UX UI Designers: No Bullshit,https://uxplanet.org/ultimate-chatgpt-cheatsheet-for-ux-ui-designers-63c813fc859a,https://youtu.be/AzBLQXskqqU?si=dsblWdNR7StjeyWq
1114B011 張雯珺,UI/UX Portfolio : ZARA Website Case Study,https://medium.com/@ansyfkh/ui-ux-portofolio-zara-website-dd7a783470e6,https://youtu.be/d0ncngxVsXo
1114B013謝霈妍,UX Case Study: Applying ChatGPT Experience to Conversational Banking,https://uxplanet.org/forbes-app-ui-ux-redesign-case-study-6c40b686ec6c,https://youtu.be/wrG9NEfSMUY
1114B014蔡秉蓉,UI/UX Research- Spotify App,https://www.behance.net/gallery/197159257/UIUX-Research-Spotify-App,https://youtu.be/eac1Rx9yuH4
1114B017詹依真,Case Study: Improving a Banking App with a UX Audit,https://medium.com/muzli-design-inspiration/case-study-improving-a-banking-app-with-a-ux-audit-41d1155468df,https://youtu.be/VVNhMDcShC8
1114B020 陳汶鈺,UX Case Study: Turning a 100-Year-Old Bank into a Digital Innovator,https://medium.muz.li/ux-case-study-turning-a-100-year-old-bank-into-a-digital-innovator-5680a587e689,https://youtu.be/vGHpe_2sPG8
1114B021蔡伊婷,UI/UX Case study: Unlocking mental wellness: Zenly’s journey of seamless journaling and crisis support.,UI/UX Case study: Unlocking mental wellness: Zenly’s journey of seamless journaling and crisis support. | by Payalhora | Bootcamp | Medium,https://www.youtube.com/watch?v=U7erGDnSNLk
1114B022簡佑臻,The future of podcasting is here: Pocket Pod — A case study in AI design,https://medium.com/design-bootcamp/the-future-of-podcasting-is-here-pocket-pod-a-case-study-in-ai-design-7541061ddcc6,https://youtu.be/oPJlnhhpfp8?si=9FX6ZtjDdsCAEzC8
1114B023 邱芷儀,“Reimagining Mobile Banking: A Case Study on the IOB App Redesign”,https://youtu.be/ruaitOBXN_U?si=G4vz-3JPso1obcBe,https://youtu.be/kOPI67m6A_s
1114B024王喬湘,Netflix Case Study — Adding a Feature,https://medium.com/@stevanoreynerich.90210/netflix-case-study-adding-a-feature-691c44e7967f,https://youtu.be/usgvCdq_mwM
1114B025 古馥瑄,Improving Search Experience inside the Glassdoor App —UX/UI Case Study,https://medium.com/design-bootcamp/improving-search-experience-on-glassdoor-job-search-app-ux-ui-case-study-4e13afd61214,https://youtu.be/ivvUjnnJx1k
1114B026林宣毓,UI/UX Case Study: Steezy App Redesign,https://medium.com/@xuannyngo/ui-ux-case-study-steezy-app-redesign-c3c745d46abb,https://youtu.be/1pnQvzE-aD8
1114B027蔡君宜,重新定義移動體驗：ICU 團隊的 Bus+ App Redesign 探險故事,https://medium.com/as-a-product-designer/%E9%87%8D%E6%96%B0%E5%AE%9A%E7%BE%A9%E7%A7%BB%E5%8B%95%E9%AB%94%E9%A9%97-icu-%E5%9C%98%E9%9A%8A%E7%9A%84-bus-app-redesign-%E6%8E%A2%E9%9A%AA%E6%95%85%E4%BA%8B-acd3a63bd375,https://youtu.be/3_5PoTKMMsc?si=9XT_yG4y8uIV_91S
1114B029呂詩涵,Redesigning the Opay app — UI/UX case study,https://medium.com/@joykaribo1/redesigning-the-opay-app-ui-ux-case-study-1ae64594a8ff,https://youtu.be/eJOtkAMHEgc?si=9GkdA9eGw0Um8O4k
1114B030羅紹齊,Gmail UX Case Study: A Redesign to Enhance Usability and Accessibility,https://medium.com/@flordaniele/gmail-ux-case-study-a-redesign-to-enhance-usability-and-accessibility-8a0c3f4ca53b,https://youtu.be/2wzoKJIinLg
1114B032 黃邦妮,Designing for Patient Ease: Creating a Patient-First App for Anima Heatlh,https://medium.com/@shuklaisha107/designing-for-patient-ease-creating-a-patient-first-app-for-anima-health-ac2429044e72,https://www.youtube.com/watch?v=Ev72wcW6-9Q
1114B037王培鑫,AI for UX Research: How Artificial Intelligence is Changing the Design Game,https://loop11.medium.com/ai-for-ux-research-how-artificial-intelligence-is-changing-the-design-game-99c03a86683d,https://www.youtube.com/watch?v=gZzDqcSJKKg
1114B038陳韋岑,UI Experiments: Options for Recipe Cards in a Food App,https://blog.tubikstudio.com/ui-experiments-options-for-recipe-cards-in-a-food-app/,
1114B039江佳霖,Case Study: Book my show App redesign ,https://medium.com/@sasi21here/case-study-book-my-show-app-redesign-4e4470156843,https://youtu.be/SPTayyl4dHQ
1114b040温婷媗,為圖書館app重新設計的借還書體驗,https://medium.com/@minzxcv7/%E7%82%BA%E5%9C%96%E6%9B%B8%E9%A4%A8app%E9%87%8D%E6%96%B0%E8%A8%AD%E8%A8%88%E5%AE%8C%E5%96%84%E7%9A%84%E5%80%9F%E9%82%84%E6%9B%B8%E9%AB%94%E9%A9%97-e9ee43cbcb1e,https://youtu.be/8gy-x4NdyD0?si=M4-oEa7Vipeej5GM
1114B041廖浚泰,人力銀行app改版分析,https://www.qartech.com/zh-Hant/work/10000410,https://youtu.be/4Ly4XWgALGc
1114B043廖宜璇,Create coupon offer system in the cart page of meesho,Create a coupon/offer system on the cart page of Meesho. | by Vrundar Patil | Bootcamp | Medium,https://youtu.be/PsoQLnJp5Xk
1114B047 彭鈺傑,服務業櫃檯互動行銷的新契機｜B2C行銷平台的UI/UX案例分析,https://medium.com/wayne-hsu/服務業櫃檯互動行銷的新契機-b2c行銷平台的ui-ux案例分析-a99128a941c4,https://youtu.be/ZyKDke2-3x8?si=TLlZzL1gZiRzVu9z
1114B049洪秋月,Improving the search history of the Youtube app,https://medium.com/@jishnukartikeyan/improving-the-search-history-of-the-youtube-app-85debf19e1a0,https://youtu.be/8ErUgA2wGdc?si=s5dxC2nTpycHSkNb
1114b052麥綽穎,UI/UX Case Study: HR System,https://rizkdlinee.medium.com/ui-ux-case-study-hr-system-be9d186c63af,https://youtu.be/XCo_PTVg1FY
1114B053 陳昱皓,案例練習：改造電影訂票App,https://medium.com/@wen_design/%E6%A1%88%E4%BE%8B%E7%B7%B4%E7%BF%92-%E6%94%B9%E9%80%A0%E9%9B%BB%E5%BD%B1%E8%A8%82%E7%A5%A8app-f548d6e05921,
1123b001蔡佑慈,Case Study: UI/UX Design for a Parcel Delivery App,https://medium.com/@irpan.maulana/case-study-ui-ux-design-for-a-parcel-delivery-app-6eeee4c9591e,https://youtu.be/RwhM6B9l6pI
1123b003李郁鈴,UI/UX Case Study — Ezlaundry,https://medium.com/@fiqihfadillah15/ezlaundry-ui-ux-case-study-4c0600f16d3f,https://youtu.be/olqxPpxMRys
1123B004 周宜蓁,Case Study: Designing a genderless shopping experience (UX/UI e-commerce ),https://medium.com/design-bootcamp/designing-a-genderless-shopping-experience-a-ux-ui-e-commerce-case-study-7cf332ce1661,https://youtu.be/95x8hEha3lc?si=XGDeRPLtxgd0ny8s
1123B005羅云軫,Reimagining Customer Support: My Journey Designing Exotel’s AI Chatbot,https://medium.com/@workawayy/reimagining-customer-support-my-journey-designing-exotels-ai-chatbot-497d471e844c,https://youtu.be/ERAjMEPOwHo
1123B006朱承恩,UX Case Study: Subscription Management App,https://medium.com/@krisnawrdn/ux-case-study-subscription-management-app-9b352e596c7,https://youtu.be/OXAXpsFzw6U
1123b007謝信宏,Goodreads 重新設計：評估行為的改變,https://medium.com/anchis-design-stories/goodreads-%E9%87%8D%E6%96%B0%E8%A8%AD%E8%A8%88-%E8%A9%95%E4%BC%B0%E8%A1%8C%E7%82%BA%E7%9A%84%E6%94%B9%E8%AE%8A-5d72cf0265,https://youtu.be/XMKOwnGhyIY
1123B008林芷嫺,AI in Logistics a quick UX and UI assignment,https://medium.com/design-bootcamp/ai-in-logistics-a-quick-ux-and-ui-assignment-ppt-file-47190cdfca59,https://youtu.be/G1jIFZZRC6M?si=reqWfqXsHAQhaDZQ(
1123B009黃千語,Case study: Library app redesign,https://medium.com/studentwork/ui-ux-case-study-ipusnas-library-app-redesign-2cde589bf309,https://youtu.be/-wWamDNcZqw
1123B010歐筑平,Convenient Care Health Service App: UI/UX Case study,Convenient Care Health Service App: UI/UX Case study | by Shreesha Shrestha | Medium,https://youtu.be/d3EXL8VEDxc
1123B011郭晨君,UX Case Study: TrekMate - A mobile experience for DIY trekkers,https://uxplanet.org/ux-case-study-trekmate-a-mobile-experience-for-diy-trekkers-5c1b76b51147,https://youtu.be/7kQ2kHdEGJU
1123B012周子喬,What’s Wrong with Apple Music — Is Spotify’s UX the Benchmark?,https://medium.com/@thedesigneuron/whats-wrong-with-apple-music-is-spotify-s-ux-the-benchmark-d2fea8ff8aa3,https://www.youtube.com/watch?v=Zg8l3LSChMU
1123b013謝佩儒,Voice UI vs. Touch UI: A Comparative Analysis — Which Interface is the Future?,https://medium.com/design-bootcamp/voice-ui-vs-touch-ui-a-comparative-analysis-which-interface-is-the-future-855826ea6e46,https://youtu.be/ZA_V9-ZwZ5Q?feature=shared
1123B014湯秀勤,Goodreads Bookshelf Redesign,https://medium.com/@katesdarnell/goodreads-bookshelf-redesign-91b7eab38394,https://youtu.be/COxinxse1_k?si=-k2GcsSB33jOEp8I
1123B015 黃瓊誼,Transforming UX with Generative AI,https://medium.com/user-experience-design-1/transforming-ux-with-generative-ai-7b06ea329286,https://youtu.be/KtYVphvaYF0
1123B016 詹絜雅,Instagram X — UI/UX Redesign Case Study,https://medium.com/design-bootcamp/instagram-x-ux-ui-redesign-case-study-34091c9dcae1,https://youtu.be/uhBMCCxPzyA
1123B017 謝玉琪,UX Case Study — Enhancing Steam’s navigation to increase user retention,https://medium.com/design-bootcamp/enhancing-steams-navigation-to-increase-user-retention-product-design-case-study-72a165d9572f,https://youtu.be/ObIgVRmROno
1123B018蔡心妤,Case Study: UX/UI Design & Development for Storiaverse,https://medium.muz.li/case-study-ux-ui-design-development-for-storiaverse-ec246cd9062e,https://youtu.be/i_vkIKLpEsM
1123b019吳怡昕,Restaurant Food Waste Management App Design — UI/UX Case Study,https://medium.com/design-bootcamp/restaurant-food-waste-management-app-design-ui-ux-case-study-4adb56d8e782,https://youtu.be/kzQ__g6kjRM
1123b020劉佳睿,Case study: The legend of Zelda: A link to the past UX/UI redesign,https://medium.com/design-bootcamp/case-study-the-legend-of-zelda-a-link-to-the-past-ux-ui-redesign-10195f0a775,https://youtu.be/Yg_EqAukLfo?si=vnI_5lpTRv-Tlb7VV
1123B021張卉蓁,Preparing for Takeoff: a UX Exploration of Animal Crossing New Horizons,https://medium.com/design-bootcamp/a-ux-exploration-of-animal-crossing-new-horizons-e7e504ebe351,https://youtu.be/nDTl8W8mRVQ
1123B022葉芩,Intelly App Design & UX: Navigating Healthcare Solutions,https://abduzeedo.com/node/88324,https://youtu.be/QNPid87Fpjk?feature=shared
1123B023甘昀靜,How Curiosity Gap UX Principle fuels Social Media Stories,https://medium.com/design-bootcamp/how-curiosity-gap-ux-principle-fuels-social-media-stories-9d9ac7382d3d,https://youtu.be/2SsE9mDy8t4?feature=shared
1123B024張湘菱,Game UX Case Study: Elden Ring,Game UX Case Study: Elden Ring,https://youtu.be/0_Oieknn_iU
1123B025 張芷妍,Case Study — Designing for People with Sensory Sensitivities,https://medium.com/@senaguvel/case-study-designing-for-people-with-sensory-sensitivities-18b30fc8d37b,https://youtu.be/ChZAnGDqW4g?si=GKN5TjQs_0q8CyNK
1123B026李心釪,The Barnum Effect in Product Management,https://medium.com/@arusharma/the-barnum-effect-in-product-management-9d59a4915048,https://youtu.be/siYUkuDmBWY
1123B027洪煜軒,How to Save 85% Of Clicks in MuseScore For iOS [UX Redesign],https://medium.com/design-bootcamp/housify-web-and-mobile-app-re-design-hackathon-challenge-b34d8b2700a6,https://youtu.be/L16nHGqN83s
1123B028曾靖緯,Swimmers Divided! The UX Redesign That Sparked a Poolside War (But Ultimately Won),https://medium.com/@zinobelky/swimmers-divided-the-ux-redesign-that-sparked-a-poolside-war-but-ultimately-won-d2f7f841240e,https://youtu.be/ja5GmxkuRws
1123B029王琳瑄,Runrate UX Case Study: Financial Management Platform for Happiness,https://www.theuxda.com/blog/runrate-ux-case-study-financial-planning-platform-to-improve-financial-decisions,https://youtu.be/5KiwRxI0ppo
1123B030洪瑋彤,UX Case Study — Tracking Office Shuttle without Bookings,https://medium.com/@isha-nadkarni/ux-case-study-tracking-office-shuttle-without-bookings-88b1146363bb,https://youtu.be/sTa3oYoTw_c?si=owDdyyYXXOgQluH2
1123B031沈榆庭,Agoda 介面重新設計,https://medium.com/@1113b029/agoda-%E4%BB%8B%E9%9D%A2%E9%87%8D%E6%96%B0%E8%A8%AD%E8%A8%88-870be619aad8,https://youtu.be/xhQrG7cesy0
1123B033黃詩涵,WhatsApp Re-Design — UI/UX Case Study,https://medium.com/@nerissaarvnas30/whatsapp-re-design-ui-ux-case-study-3d44febe25,https://youtu.be/7B6yw0dxC7Q
1123B034朱晟彥,Flip Memory Game - Mobile Game UI/UX Design Case Study,https://www.behance.net/gallery/174112073/Flip-Memory-Game-Mobile-Game-UIUX-Design-Case-Study#,https://youtu.be/xoSoPA2_jAw
2005jacob,分析「知識星球」如何幫設計師年入百萬！,https://www.uisdc.com/zsxq-operation,https://youtu.be/RV1rWl1-wrI
33｜用戶流,Transforming Healthcare with MEDIC Doctor App: A Case Study,https://uxplanet.org/transforming-healthcare-with-medic-doctor-app-a-case-study-a2107024ec7,
57 | 用戶流 x 數據流,UX Case Study: Deceptive Design,https://medium.com/design-bootcamp/ux-case-study-deceptive-design-a28309b7ae34,
一個邱｜用戶流,How Uber Eats makes you think you want to order food,https://uxdesign.cc/how-uber-eats-makes-you-think-you-want-to-order-food-c943a9dbfb93,https://youtu.be/oQj895HtuA0
一魚 | 用戶流,How to make Twitter a real super app without breaking its UX,https://medium.com/design-bootcamp/how-to-make-twitter-a-real-super-app-without-breaking-its-ux-e1ab41c98cf2,
叉叉 | 用戶流,"The one-question surveys from Figma, LinkedIn & Google/ 3 examples of one-question surveys from Instagram, Pinterest & more","https://uxdesign.cc/the-one-question-surveys-from-figma-linkedin-google-fd16856691f6
https://uxdesign.cc/3-examples-of-one-question-surveys-from-instagram-pinterest-more-880f3973935a",
小小肚臍 ( - ) | 用戶流×數據流,UX Case Study: User-Centric Design of the Cinescope Cinema Mobile App,https://medium.com/design-bootcamp/ux-case-study-cinescope-cinema-mobile-app-306d12f3fee9,https://youtu.be/xW-GHM1nGl0?si=-6PzVM_g-pXUpmjP
小王子 | 用戶流,E-learning app (LearnGate) 2024/9/27,https://www.behance.net/gallery/208974959/E-learning-app-(LearnGate)/modules/1187136173,https://drive.google.com/file/d/13blx-dg2nn_SjfkfSkIEg0QHR4ezPqqD/view?usp=sharing
小伊|商業流 x 用戶流,Redesign Shopee App - Case UX/UI,https://www.behance.net/gallery/177483611/Redesign-Shopee-App-Case-UXUI?tracking_source=search_projects|ux+case+study+shopee&l=0,https://youtu.be/P6FPkl-YiiY
小P醬｜用戶流x商業流,"UX Research Case Study: Disney+ Hotstar 
","https://medium.com/@fariddept/ux-research-case-study-disney-hotstar-77908e55a371
",https://youtu.be/mvbOT0LpzTE
小S,LINE App -UX Redesign,LINE App — UX Redesign - abby - Medium,
山裡 | 用戶流 x 商業流,Elevating car selling experience for 4lakh+ users on CARS24 app,https://medium.com/@monikamaharana88/elevating-car-selling-experience-for-4lakh-users-on-cars24-app-c72a82598d49,https://youtu.be/4Z3hsvfx5zs
加菲,Minimizing Food Waste: A UX Approach to Smart Kitchen Management,https://medium.com/@bhandarkarpari/minimizing-food-waste-a-ux-approach-to-smart-kitchen-management-0ade8301ee2a,https://youtu.be/YZXSBIaERlo
包里斯 | 用戶流x數據流,"Bad design is, apparently, hot",https://medium.com/user-experience-design-1/bad-design-is-apparently-hot-fc71c08d381c,https://www.youtube.com/watch?v=5tTlQBWsCjA&t=27s
古古| 用戶流 x 數據流,瞄準求職者的需求、使用行為及體驗價值，成就更好的求職媒合服務APP,人力銀行求職App改版，專業UX UI設計提升使用者經驗,
奶昔 | 三刀流 X 用戶流,Case Study: Nova Post. UI Design and 3D for Interactive Christmas Advent Calendar,https://tubikstudio.medium.com/case-study-nova-post-ui-design-and-3d-for-interactive-christmas-advent-calendar-cc24776edea7,https://youtu.be/M-8C3dV1ydo
生食 | 用戶流x商業流,Improving Agoda's hotel booking experience — UX/UI Case Study,https://medium.com/design-bootcamp/improving-agodas-hotel-booking-experience-ux-ui-case-study-9e8df251dbd0,https://youtu.be/4bFDawBZ6R0
白白 | 三刀流 X 用戶流,Travel App UX case study,https://www.behance.net/gallery/183329297/Travel-App-UX-case-study?tracking_source=search_projects|UX+case&l=1,https://youtu.be/5-3MJV8BWaQ
妄 | 用戶流 x 數據流,Case Study: Creating a User-Centric Travel Planning Website — Part 5,https://medium.com/@lilia.mahmoudy7/case-study-creating-a-user-centric-travel-planning-website-part-5-825ab2b20948,https://youtu.be/nKbzCoKmumA?si=epF5bfg95SSuLzgN
江江,Case Study: Redesign Uniqlo App,https://medium.com/@janeyong2011/case-study-redesign-uniqlo-app-a69ead15380e,
江薑｜用戶流 x 商業流,Enhancing Paytm’s User Experience: A Case Study from Clutter to Clarity,https://medium.com/@srijies492/enhancing-paytms-user-experience-a-case-study-from-clutter-to-clarity-ae6c2f5f5118,https://youtu.be/KbCV8OMduTo
米特| 用戶流 X 商業流,UI/UX Case Study: AI-basis CV Builder,https://medium.com/@ilhamsatiyaw/ui-ux-case-study-ai-basis-cv-builder-ab2bea7b4fa9,https://www.youtube.com/watch?v=VPQNTROmMck
初心｜用戶流x數據流,From Insight to a Better World: Ubie’s Journey in Patient-Centric Healthcare,https://medium.com/@smurakoshi/from-insight-to-a-better-world-ubies-journey-in-patient-centric-healthcare-9b8e29b535c7,
杜小月,Zurina Ketola E-Commerce redesign: UX-UI Case Study.,https://medium.com/@UxNicoleUi/zurina-ketola-e-commerce-redesign-ux-ui-case-study-9ac91cbd7ae8,https://youtu.be/pux-4kslOYA
辛辛學子💦,Case study: Redesigning the Weverse app (BTS Experience),https://medium.com/@inklings_irises/case-study-redesigning-the-weverse-app-bts-experience-ba45fa2935db,
依比鴨鴨 | 用戶流 x 商業流,UX Case Study: PetzMates,https://www.behance.net/gallery/199533435/PetzMates_UX_CaseStudy?tracking_source=search_projects_appreciations|UX+Case+study+&l=8,
呣嚕 | 用戶流,Threads — UX Case Study,https://medium.com/@amiyachaturvedi/threads-ux-case-study-part-1-ux-review-6cd3e85cf7f8,
肥肥-用戶流x商業流,UI Design Case Study: Krispy Kreme App,https://medium.com/design-bootcamp/ui-case-study-krispy-kreme-app-c0d84007cdc2,https://youtu.be/CiVW4Fsh1Cg
阿禾|用戶流X數據流,Daraz App Redesign — UX/UI Case Study,https://medium.com/@yashalmoazzam22/daraz-app-redesign-452bcc853d07,
阿宏|用戶流X數據流,台鐵e訂通 Official ticket booking app redesign,https://www.behance.net/gallery/194346399/e-Official-ticket-booking-app-redesign?tracking_source=search_projects%7Cui%2Fux,https://www.youtube.com/watch?v=ZDd4Tkmm2YU
阿ㄐ | 用戶流X數據流,"OK Google, It’s Time for a Change! – Google Drive’s Web App Redesign ",https://www.netguru.com/blog/google-drive-redesign,https://www.youtube.com/watch?v=D1LPHVaG0jU
阿YU∣ 用戶流x數據流,UX Case Study — Revamp Shopee Checkout Journey and Checkout Interface,https://medium.com/@stevanoreynerich.90210/ux-case-study-revamp-shopee-checkout-journey-and-checkout-interface-8dcb4054bee3,https://youtu.be/Ml4kppo0Da4
雨後彩虹| 用戶流x商業流x數據流,Go Beyond | Travel Agency App | Case Study,https://www.behance.net/gallery/203069815/Go-Beyond-Travel-Agency-App-Case-Study?tracking_source=search_projects|Go+Beyond+|+Travel+Agency+App+|+Case+Study&l=0,https://youtu.be/iyW4sdCPgiM
青豆 | 用戶流x商業流,Improving LinkedIn’s Job Recommendation System: A UX Research Journey,https://medium.com/@yosefbambangrio/improving-linkedins-job-recommendation-system-a-ux-research-journey-45bf5ee71cc5,https://www.youtube.com/watch?v=R_Nru71ZcLI
俗辣狗狗,UI/UX Case Study : Healthy Living in the Digital Era,https://medium.com/@shafirasalsabilaputri1/ui-ux-case-study-healthy-living-in-the-digital-era-6c2d21a0bc87,https://youtu.be/2XUiczAqbzg
柚子｜三刀流x數據流,,,
柚茗｜商業流x數據流,UI/UX Case Study: Designing a gamified app to help users manage screen time,https://medium.com/design-bootcamp/ui-ux-case-study-designing-a-gamified-app-to-help-users-manage-screen-time-f384bc467ceb,https://youtu.be/76h1gCxncvM
秋葉 | 用戶流X商業流,FinTrack — A UX/UI Case Study.,https://medium.com/@soadepoju2021/fintrack-a-ux-ui-case-study-4aa6ccf09907,https://youtu.be/3PhJORzQKKQ
趴了個噗💨｜用戶流x商業流,Spotify Redesign — UI/UX Case Study,https://medium.com/@saravanaraj23.9.97/spotify-redesign-ui-ux-case-study-116c15d52c85,
修筆亞｜用戶流x商業流,"Designing a Seamless Signup Flow for Axio, a Green Ride-Share App",https://medium.com/design-bootcamp/designing-a-seamless-signup-flow-for-axio-a-green-ride-share-app-011d3cc45bba,https://youtu.be/CRfAXhfeMmg
海狗勾 | 用戶流 x 放水流,Zica：專為來台留學生設計的互動中文識字教材,https://hsiehchengyi.com/work/zica/,
培培 | 用戶流 x 商業流,UI/UX Case Study: Just Run (Running App),https://medium.com/@yte250300/ui-ux-case-study-just-run-running-app-fc4c472737d8,https://youtu.be/v5ElBO7b7TQ 
曼,"""EngliCoach"" UX/UI Case Study on Language Learning App",https://www.behance.net/gallery/164629623/EngliCoach-UXUI-Case-Study-on-Language-Learning-App,
